Title|Author|Date Finished|Category|Genre|Year Written|Country|Series|Gender|Favorites
Silent Parade|Keigo Higashino|01/02/2022|Fiction|Mystery|2018|Japan|Detective Galileo|Male|
The Name of the Rose|Umberto Eco|01/19/2022|Fiction|Mystery|1980|Italy||Male|
Hellboy Omnibus, Vol 1: Seed of Destruction|Mike Mingola|01/20/2022|Comics|Horror|2018|United States|Hellboy|Male|
Hellboy: The Complete Short Stories, Vol 1|Mike Mingola|01/26/2022|Comics|Horror|2018|United States|Hellboy|Male|
Hellboy: The Complete Short Stories, Vol 2|Mike Mingola|01/31/2022|Comics|Horror|2018|United States|Hellboy|Male|
The Thursday Murder Club|Richard Osman|02/03/2022|Fiction|Mystery|2020|United Kingdom|Thursday Murder Club|Male|Favorite Mystery
Hellboy Omnibus, Vol 2: Strange Places|Mike Mingola|02/21/2022|Comics|Horror|2018|United States|Hellboy|Male|
Devil House|John Darnielle|02/27/2022|Fiction|Lit|2022|United States||Male|
BPRD: Plague of Frogs, Vol 2|Mike Mignola|03/19/2022|Comics|Horror|2011|United States|Hellboy|Male|
The Incomplete Tim Key|Tim Key|04/24/2022|Poetry|Humor|2011|United Kingdom||Male|
Mobile Suit Gundam: The Origin VIII: Operation Odessa|Yoshikazu Yasuhiko|05/01/2022|Comics|Science Fiction|2011|Japan|Gundam|Male|
Here We Go Round the Mulberry Bush|Tim Key|05/16/2022|Poetry|Humor|2022|United Kingdom||Male|Favorite Humor
Vapor|Max|06/16/2022|Comics|Humor|2012|Spain||Male|
Mobile Suit Gundam: The Origin IX: Lalah|Yoshikazu Yasuhiko|06/26/2022|Comics|Science Fiction|2012|Japan|Gundam|Male|
Terminal Boredom|Izumi Suzuki|06/27/2022|Fiction|Science Fiction|2021|Japan||Female|
Never Be Alone Again|Lina Abascal|07/07/2022|Non-Fiction|Music|2021|United States||Female|
Dracula|Bram Stoker|07/11/2022|Fiction|Horror|1897|Ireland||Male|
The Stone Sky|NK Jemisin|07/11/2022|Fiction|Science Fiction|2017|United States|The Broken Earth|Female|
In the Dream House|Carmen Maria Machado|07/11/2022|Non-Fiction|Horror|2019|United States||Female|Favorite Horror/Favorite Memoir
The Man Who Died Twice|Richard Osman|07/13/2022|Fiction|Mystery|2021|United Kingdom|Thursday Murder Club|Male|
Poor Things|Alasdair Gray|07/23/2022|Fiction|Lit|1992|United Kingdom||Male|
People and Other Aggravations|Judith Viost|07/25/2022|Poetry|Humor|1971|United States||Female|
Geometry of Shadows|Giorgio de Chirico|08/28/2022|Poetry|Lit|2019|Italy||Male|
Human Tetris|Vi Khi Nao & Ali Raz|09/01/2022|Poetry|Lit|2019|United States||Female|
BPRD: Plauge of Frogs, Vol 3|Mike Mignola|09/01/2022|Comics|Horror|2012|United States||Male|
Six Four|Hideo Yokoyama|09/12/2022|Fiction|Mystery|2012|Japan||Male|
The Bullet That Missed|Richard Osman|09/26/2022|Fiction|Mystery|2022|United Kingdom|Thursday Murder Club|Male|
I'm Glad My Mom Died|Jennette McCurdy|09/28/2022|Non-Fiction|Memoir|2022|United States||Female|
BPRD: Plague of Frogs, Vol 4|Mike Mignola|09/28/2022|Comics|Horror|2012|United States|Hellboy|Male|
Hellboy Omnibus, Vol 3: The Wild Hunt|Mike Mignola|09/29/2022|Comics|Horror|2018|United States|Hellboy|Male|
Ducks: Two Years on the Oil Sands|Kate Beaton|09/30/2022|Comics|Memoir|2022|Canada||Female|Favorite Graphic Novel
The Eye of the World|Robert Jordan|10/08/2022|Fiction|Fantasy|1990|United States|The Wheel of Time|Male|
Father Brown: The Essential Tales|GK Chesterton|10/22/2022|Fiction|Mystery|2005|United Kingdom|Father Brown|Male|
Hellboy Omnibus, Vol 4: Hellboy in Hell|Mike Mignola|10/23/2022|Comics|Horror|2018|United States|Hellboy|Male|
The Satsuma Complex|Bob Mortimer|10/30/2022|Fiction|Humor|2022|United Kingdom||Male|
Hallowe'en Party|Agatha Christie|11/03/2022|Fiction|Mystery|1969|United Kingdom|Poirot|Female|
The Aleph and Other Stories|Jorge Luis Borges|11/05/2022|Fiction|Fantasy|1949|Argentina||Male|
Bone|Yrsa Daley-Ward|11/06/2022|Poetry|Memoir|2014|United Kingdom||Female|Favorite Poetry
The Garden of Forking Paths|Jorge Luis Borges|11/07/2022|Fiction|Science Fiction|1941|Argentina||Male|
The Colony|Audrey Magee|11/13/2022|Fiction|Lit|2022|Ireland||Female|Favorite Historical Novel
The Cripple of Inishmaan|Martin McDonagh|11/16/2022|Drama|Lit|1996|Ireland||Male|
The Miracles of the Namiya General Store|Keigo Higashino|11/17/2022|Fiction|Fantasy|2012|Japan||Male|Favorite Feel-Good
Marcovaldo|Italo Calvino|11/20/2022|Fiction|Lit|1963|Italy||Male|
The Hole|Hiroko Oyamada|12/06/2022|Fiction|Lit|2014|Japan||Female|
Lupin III: Greatest Heists|Monkey Punch|12/11/2022|Comics|Humor|2021|Japan|Lupin III|Male|
A Death in Tokyo|Keigo Higashino|12/19/2022|Fiction|Mystery|2011|Japan|Detective Kaga|Male|
The Hojin Murders|Seishi Yokomizo|12/19/2022|Fiction|Mystery|1946|Japan|Kosuke Kindaichi|Male|
The Girl on the Train|Paula Hawkins|12/23/2022|Fiction|Thriller|2015|United Kingdom||Female|
Lyon Street|Marc Zegans|12/25/2022|Poetry|Lit|2022|United States||Male|
If on a winter's night a traveler|Italo Calvino|12/31/2022|Fiction|Lit|1979|Italy||Male|Favorite "Literary" Novel
