Title|Author|Date Finished|Category|Genre|Year Written|Country|Series|Gender
Death on Gokumon Island|Seishi Yokomizo|01/05/2023|Fiction|Mystery|1948|Japan|Kosuke Kindaichi|Male
The Great Hunt|Robert Jordan|02/05/2023|Fiction|Fantasy|1990|USA|The Wheel of Time|Male
Catwoman: Lonely City|Cliff Chiang|02/11/2023|Comics|Mystery|2022|USA|Batman|Male
The Village of the Eight Graves|Seishi Yokomizo|02/18/2023|Fiction|Mystery|1951|Japan|Kosuke Kindaichi|Male
The Memory Police|Yoko Ogawa|02/20/2023|Fiction|Lit|1994|Japan||Female
The Bluest Eye|Toni Morrison|03/07/2023|Fiction|Lit|1970|USA||Female
Cat Diary: Yon & Muu|Junji Ito|03/09/2023|Comics|Memoir|2009|Japan||Male
Sensor|Junji Ito|03/15/2023|Comics|Horror|2019|Japan||Male
The Treasure of the Black Swan|Paco Roca & Guillermo Corral|03/19/2023|Comics|History|2018|Spain||Male
That We May Live|Chen Si'an et al.|03/24/2023|Fiction|Science Fiction|2020|China||Female
Termination Shock|Neal Stephenson|03/31/2023|Fiction|Science Fiction|2021|USA||Male
Mobile Suit Gundam: The Origin X: Solomon|Yoshikazu Yasuhiko|04/15/2023|Comics|Science Fiction|2004|Japan|Gundam|Male
Raving|McKenzie Wark|04/19/2023|Non-fiction|Music|2023|USA||Female
Quicksilver|Neal Stephenson|04/25/2023|Fiction|Historical Fiction|2003|USA|The Baroque Cycle|Male
King of the Vagabonds|Neal Stephenson|05/07/2023|Fiction|Historical Fiction|2003|USA|The Baroque Cycle|Male
Weasels in the Attic|Hiroko Oyamada|05/09/2023|Fiction|Lit|2022|Japan||Female
Odalisque|Neal Stephenson|05/25/2023|Fiction|Historical Fiction|2003|USA|The Baroque Cycle|Male
People from My Neighbourhood|Hiromi Kawakami|05/29/2023|Fiction|Lit|2020|Japan||Female
A Moveable Feast|Ernest Hemingway|05/30/2023|Non-fiction|Memoir|1964|USA||Male
The Factory|Hiroko Oyamada|05/31/2023|Fiction|Lit| 2010|Japan||Female
Batman/Catwoman|Tom King|06/13/2023|Comics|Mystery|2022|USA|Batman|Male
The Dragon Reborn|Robert Jordan|06/21/2023|Fiction|Fantasy|1991|USA|The Wheel of Time|Male
The Inugami Curse|Seishi Yokomizo|06/25/2023|Fiction|Mystery|1951|Japan|Kosuke Kindaichi|Male
Nimona|ND Stevenson|07/17/2023|Comics|Fantasy|2015|USA||Male
The Neil Gaiman Library, Vol 1|Neil Gaiman|08/11/2023|Comics|Fantasy|2020|England||Male
The Incal|Alejandro Jodorowsky|08/26/2023|Comics|Science Fiction|1981|Chile||Male
The Devil's Flute Murders|Seishi Yokomizo|08/26/2023|Fiction|Mystery|1953|Japan|Kosuke Kindaichi|Male
Liquid Snakes|Stephen Kearse|09/09/2023|Fiction|Science Fiction|2023|USA||Male
Feast: A History of Grand Eating|Roy Strong|09/17/2023|Non-fiction|History|2002|England||Male
The Last Devil to Die|Richard Osman|09/21/2023|Fiction|Mystery|2023|England|Thursday Murder Club|Male
Unruly: The Ridiculous History of England's Kings and Queens|David Mitchell|10/06/2023|Non-fiction|History|2023|England||Male
Foucault's Pendulum|Umberto Eco|10/09/2023|Fiction|Mystery|1988|Italy||Male
Offshore Lightning|Nazuna Saito|10/19/2023|Comics|Lit|2023|Japan||Female
Lady Joker, Vol 1|Kaoru Takamura|10/23/2023|Fiction|Mystery|1997|Japan|Lady Joker|Female
The Confusion|Neal Stephenson|10/27/2023|Fiction|Historical Fiction|2004|USA|The Baroque Cycle|Male
Solomon's Gold|Neal Stephenson|11/03/2023|Fiction|Historical Fiction|2004|USA|The Baroque Cycle|Male
Chapters|Tim Key|11/11/2023|Poetry|Humor|2023|England||Male
Currency|Neal Stephenson|11/17/2023|Fiction|Historical Fiction|2004|USA|The Baroque Cycle|Male
The Hard Switch|Owen D Pomery|11/12/2023|Comics|Science Fiction|2023|England||Male
The System of the World|Neal Stephenson|11/17/2023|Fiction|Historical Fiction|2004|USA|The Baroque Cycle|Male
Lady Joker, Vol 2|Kaoru Takamura|11/24/2023|Fiction|Mystery|1997|Japan|Lady Joker|Female
This is How You Lose the Time War|Amal El-Mohtar & Max Gladstone|12/02/2023|Fiction|Science Fiction|2019|Canada||Female
Strangers|Taichi Yamada|12/02/2023|Fiction|Horror|1987|Japan||Male
The World Keeps Ending, and the World Goes On|Franny Choi|12/07/2023|Poetry|Lit|2022|USA||Female
Home Stretch|Graham Norton|12/08/2023|Fiction|Lit|2020|Ireland||Male
Novelist as a Vocation|Haruki Murakami|12/13/2023|Non-fiction|Essays|2015|Japan||Male
A Visit from the Goon Squad|Jennifer Egan|12/19/2023|Fiction|Lit|2010|USA|Goon Squad|Female
The Nakano Thrift Shop|Hiromi Kawakami|12/22/2023|Fiction|Lit|2005|Japan||Female
The Final Curtain|Keigo Higashino|12/25/2023|Fiction|Mystery|2013|Japan|Detective Kaga|Male
American by Day|Derek B. Miller|12/26/2023|Fiction|Mystery|2018|USA||Male
