title|author|date|form|genre|published|pages|country|series|gender|favorite
The Decagon House Murders|Yukito Ayatsuji|01/09/2024|Fiction|Mystery|1987|284|Japan|House Murders|Male|
A Libertarian Walks into a Bear|Matthew Hongoltz-Hetling|02/14/2024|Non-Fiction|History|2020|288|United States||Male|
Ten Planets|Yuri Herrera|02/20/2024|Fiction|Science Fiction|2019|108|Mexico||Male|
Vanishing Fleece|Clara Parkes|02/21/2024|Non-Fiction|Economics|2019|184|United States||Female|
The Lonesome Bodybuilder|Yukiko Motoya|03/03/2024|Fiction|Lit|2018|224|Japan||Female|
In the Woods|Tana French|03/04/2024|Fiction|Mystery|2007|431|Ireland|Dublin Murder Squad|Female|
Knight Terrors|Joshua Williamson|03/13/2024|Comics|Horror|2023|232|United States|Batman|Male|
Go Giants|Nick Laird|03/15/2024|Poetry|Lit|2013|80|Ireland||Male|
Dead Boy Detectives|Toby Litt & Mark Buckingham|03/23/2024|Comics|Mystery|2023|304|England|Sandman|Male|
The Likeness|Tana French|03/25/2024|Fiction|Mystery|2008|466|Ireland|Dublin Murder Squad|Female|
When I Arrived at the Castle|EM Carroll|04/16/2024|Comics|Horror|2019|72|Canada||NB|
House of Women|Sophie Goldstein|04/17/2024|Comics|Horror|2017|200|United States||Female|
The Mill House Murders|Yukito Ayatsuji|04/20/2024|Fiction|Mystery|1988|253|Japan|House Murders|Male|
A Guest in the House|EM Carroll|04/22/2024|Comics|Horror|2023|256|Canada||NB|
Out of Left Field|Jonah Newman|04/24/2024|Comics|Bildungsroman|2024|304|United States||Male|
The Tatami Galaxy|Tomihiko Morimi|04/27/2024|Fiction|Lit|2004|344|Japan||Male|
Butter|Asako Yuzuki|05/24/2024|Fiction|Mystery|2017|464|Japan||Female|
What Moves the Dead|T. Kingfisher|06/10/2024|Fiction|Horror|2022|165|United States|Sworn Soldier|Female|
A Court of Thorns and Roses|Sarah J. Maas|06/12/2024|Fiction|Fantasy|2015|419|United States|A Court of Thorns and Roses|Female|
The City We Became|NK Jemisin|06/18/2024|Fiction|Fantasy|2020|437|United States|Great Cities|Female|
Pink|Kyoko Okazaki|06/21/2024|Comics|Lit|2010|256|Japan||Female|
Young Skins|Colin Barrett|06/23/2024|Fiction|Lit|2013|211|Ireland||Male|
Mathilda|Mary Shelley|06/24/2024|Fiction|Lit|1959|134|England||Female|
The Laughing Policeman|Maj Sjöwall & Per Wahlöö|06/25/2024|Fiction|Mystery|1967|224|Sweden|Martin Beck|Female|
Murder at the Savoy|Maj Sjöwall & Per Wahlöö|07/02/2024|Fiction|Mystery|1970|216|Sweden|Martin Beck|Female|
Ayoade on Ayoade|Richard Ayoade|07/04/2024|Nonfiction|Humor|2014|307|England||Male|
Roseanna|Maj Sjöwall & Per Wahlöö|07/07/2024|Fiction|Mystery|1965|224|Sweden|Martin Beck|Female|
All the Pretty Horses|Cormac McCarthy|07/11/2024|Fiction|Western|1992|302|United States|Border Trilogy|Male|
